marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	24509695	R3VR960AHLFKDV	B004HB5E0E	488241329	Shoal Creek Computer Desk	Furniture	4	0	0	N	Y	... desk is very study and it i has a beautiful finish, I think that it a just a ...	This desk is very study and it i has  a beautiful finish,  I think that it a just a little  pricey for the size.	2015-08-31
US	34731776	R16LGVMFKIUT0G	B0042TNMMS	205864445	Dorel Home Products Delaney Large Rectangular Ottoman	Furniture	5	0	0	N	Y	Five Stars	Great item	2015-08-31
US	1272331	R1AIMEEPYHMOE4	B0030MPBZ4	124663823	Bathroom Vanity Table Jewelry Makeup Desk Bench Drawer Hair Dressing Organizer	Furniture	5	1	1	N	Y	Five Stars	Perfect fit for my bedroom, been wanting one since I was a little girl	2015-08-31
US	45284262	R1892CCSZWZ9SR	B005G02ESA	382367578	Sleep Master Ultima Comfort Memory Foam 6 Inch Mattress	Furniture	3	0	0	N	Y	Good enough	We use this on a trundle bed.  So, it does not get that much use.  This was a much better choice than getting a low end spring mattress for the same price.  I do not think I would use this on anything other than a trundle.	2015-08-31
US	30003523	R285P679YWVKD1	B005JS8AUA	309497463	1 1/4" GashGuards: Deluxe Rubberized Plastic Bed Frame End Caps, Set of 2	Furniture	3	0	0	N	N	Gash Gards for daybed	The product is fine...just seemed like it took awhile in the mail for something small you could throw in an envelope and mail.  Not unhappy just moderately satisfied.	2015-08-31
US	18311821	RLB33HJBXHZHU	B00AVUQQGQ	574537906	Serta Bonded Leather Big & Tall Executive Chair	Furniture	5	0	0	N	Y	Five Stars	Love this product, amazing delivery, thank you	2015-08-31
US	42943632	R1VGTZ94DBAD6A	B00CFY20GQ	407473883	Prepac Shoe Storage Cubbie Bench	Furniture	5	2	2	N	Y	I love this bench	I love this bench, had one in Black for over five years, and moved it more than 5 times to different houses after a few chips and broken pieces, I decided to buy the White one as it matches our current home decor better, plus it is much easier to locate shoes especially black ones! the black cubbie bench was too dark, and most of our shoes blended in and hard to see. This is perfect. Easy to put together. I painted the back white as well, as it was going in an area with the all sides shown.	2015-08-31
US	43157304	R168KF82ICSOHD	B00FKC48QA	435120460	HomCom PU Leather Storage Bench Ottoman w/ 4 Trays - Brown	Furniture	5	0	0	N	Y	Great storage capacity	Have had this for over a year.  Very well made and durable!  Great storage capacity.	2015-08-31
US	51918480	R20DIYIJ0OCMOG	B00N9IAL9K	356495985	Folding Step Stool	Furniture	5	0	0	N	Y	This is the best step stool I have ever used	This is the best step stool I have ever used.  So compact when collapsed so is very easy to store.. no hidden latches.  Have already recommended to friends.	2015-08-31
US	14522766	RD46RNVOHNZSC	B001T4XU1C	243050228	Ace Bayou Adult Video Rocker	Furniture	5	0	0	N	Y	great for price!	my son loves it!	2015-08-31
US	43054112	R2JDOCETTM3AXS	B002HRFLBC	93574483	4D Concepts Audio Entertainment Stand, Cherry	Furniture	5	0	0	N	Y	Five Stars	Great product	2015-08-31
US	26622950	R33YMW36IDZ6LE	B006MISZOC	941823468	Zinus SC-SBBK-14NT-FR Smartbase Bed Frame Metal, Narrow Twin	Furniture	5	0	0	N	Y	perfect	bought with sleep contour 8&#34; foam. arrived ontime and my kid had no trouble assembling it. shipped it to his off campus apt.. he says its most comfortable bed hes ever owned!	2015-08-31
US	17988940	R30ZGGUHZ04C1S	B008BMGABC	460567746	Poundex Marble Dining Table, 4 Counter Height Chairs	Furniture	5	1	1	N	Y	Very satisfied!!!	Delivery was on time. I was very satisfied with the product. The table is very sturdy and it exceeds my expectations!	2015-08-31
US	18444952	RS2EZU76IK2BT	B00CO2VH5Y	829613894	Safavieh Lyndhurst Collection LNH312B Traditional Oriental Light Blue and Ivory Area Rug (5'3" x 7'6")	Furniture	5	0	0	N	Y	soft and great for in front of a sofa	Exactly as pictured. Plush, soft and great for in front of a sofa.	2015-08-31
