marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	369786	R2UP3I9SEBSQQ6	B00EV8WQ2C	727551205	Maverick Wireless Barbecue Thermometer - ET732 - Includes Bear Paw Meat Handlers	Lawn and Garden	5	0	0	N	Y	Five Stars	Thermometer was exactly as advertised and performed as flawlessly	2015-08-31
US	36506186	R221JA97EHIMSA	B000BX4QGK	682736184	Central Garden Brands 100099247 Fish Emulsion Fertilizer, 5-1-1 Formula, 1-Qt.	Lawn and Garden	5	1	1	N	Y	Good Anywhere!	Have used this in Las Vegas / Eugene, OR / and Cookeville, TN. Has worked perfect everywhere. Nothing beats it.	2015-08-31
US	36673840	R1PKWHUVP0UVJM	B008HLGVY8	799505175	Pentair Sta-Rite 05607-2030 Sunlite Stainless Steel Quartz Halogen Brass LTC Light with 30-Feet Cord, 120-Volt 250-Watt	Lawn and Garden	5	0	0	N	Y	Easy to install and works great!	Works great and was easy to install after I found a video how to do so on YouTube.	2015-08-31
US	3023532	R3801AS9UZILHY	B0012YIB2W	201678546	9GreenBox - Jasmine Maid of Orleans Plant - 4" Pot	Lawn and Garden	4	0	0	N	N	jasmine plant,lacks flowers.	Plant is hardy and arrived in good shape. Blossomed but never flowered.except for the lack of flowers it is great.	2015-08-31
US	27624697	R1VLKYMLGAAJ2	B009URXEE8	644006918	Online Stores Rainbow Printed Polyester Flag, 3 by 5-Feet	Lawn and Garden	5	0	0	N	Y	Excellent!	Very sturdy, and the colors look great!	2015-08-31
US	13332899	R24F0W2QB8WEJN	B0012OVJ94	275805216	Woodstock Small Natural Emperor Gong Wind Chime	Lawn and Garden	5	0	0	N	Y	It is sturdy and well built too	This is a gorgeous wind chime.  Doesn't &#34;chime&#34; too much but it's unique and most attractive.  It is sturdy and well built too.	2015-08-31
US	39210559	R24LAF8A8MC5UM	B009M4PYVK	923620227	Kohler 14-853-22-S Lawn & Garden Equipment Engine Carburetor Rebuild Kit	Lawn and Garden	5	1	1	N	Y	Great carb, great price	OEM fit & finish. Bolt on, no adjustments necessary.	2015-08-31
US	39769070	RDJO3TFK96L1U	B000H5T928	390468413	McLane 2059-3 2-Inch x 9-Inch Edger Blade - 3 Pack	Lawn and Garden	5	0	0	N	Y	Five Stars	Bought as spares	2015-08-31
US	46495003	R3LJGX6CIDTDMM	B000V9OH90	672876263	Rainbird National Sls SST-600IN 6-Station Watering Indoor Timer, Underground Sprinkler Systems	Lawn and Garden	5	0	0	N	Y	Five Stars	As descibed works well	2015-08-31
US	26304750	R39X4DFRUR4PUO	B00C1TDFE6	233684662	Melnor Flat Soaker Hose; 25 ft.	Lawn and Garden	5	1	1	N	Y	Five Stars	Very good...	2015-08-31
US	39626319	R1LRYALUCZW4L8	B004LY59V6	612086079	BLACK+DECKER LBXR20 20V MAX 1.5Ah Lithium Ion Tool Battery	Lawn and Garden	1	0	0	N	N	One Star	Can't even give one star..bought from amazon and it never held a charge..trying to return it	2015-08-31
US	2401417	R1KYG84EOWD293	B005QIXOY0	145290787	Intex Deluxe Pool Maintentance Kit for Above Ground Pools	Lawn and Garden	4	0	0	N	Y	Four Stars	I was pleased with the results I got.  I just wish I had known about this item sooner.	2015-08-31
US	13084406	R2BS6NAC04OABY	B00NHZXL0Q	695320536	Lava Heat LA PIAZZA La Piazza Propane, SS Finish, 20000 BTU	Lawn and Garden	5	1	2	N	Y	I am now a pizza king!	High quality equipment. Easy & Fun	2015-08-31
