marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	18069663	R3P2HIOQCIN5ZU	B000XB31C0	265024781	Minnetonka Men's Double Deerskin Softsole Moccasin	Shoes	1	0	0	N	Y	.	Do not buy: really didn't start to wear them until May of 2016. Junk, they are falling apart. The outer sole is so thin that although I wear them almost completely in the house on rugs the inner padding is showing through in the heel. My previous pair from the same company lasted 5 years before I threw them out.  I'm sorry I didn't wear them more often when I first got them as I would have returned them immediately	2015-08-31
US	16251825	R12VVR0WH5Q24V	B00CFYZH5W	259035853	Teva Men's Pajaro Flip-Flop	Shoes	5	0	0	N	Y	super flip flop	provides great cushion as well as archsupport	2015-08-31
US	20381037	RNCCKB6TV5EEF	B00S8JNN3Q	666066660	Anne Klein Perfect Pair Wristlet	Shoes	4	0	0	N	Y	Great clutch purse!	It's perfect if you need something small for cell phone, and few items.	2015-08-31
US	108364	R2NZXYIVCGB13W	B00XFBPOQG	448483263	adidas Men's 10K Lifestyle Runner Sneaker	Shoes	5	0	6	N	Y	Badass	Getting what u see	2015-08-31
US	45449350	R2EQ1TG9IT3OEQ	B00SW64Y9W	7853171	OverBling Sneakers for Men Casual Men Shoes Genuine Leather Shoes Slip On Boat Loafers	Shoes	3	0	0	N	Y	Three Stars	small	2015-08-31
US	19324665	R1WXA9JSC2H1U1	B011F9E6LI	14311457	MESSI 15.3 FG/AG SOCCER SHOES (8.5)	Shoes	5	1	1	N	Y	Five Stars	My 13 year old son loved these shoes excellent quality service and on time for his Birthday !!!	2015-08-31
US	50073594	R12ENYLFGGNWRV	B00HAUP1OI	264821602	Hoka One One Men's Stinson Lite Shoe	Shoes	5	1	1	N	Y	Finally, some cushion to write about	Ok, I have been searching for shoes to replace the shoes I used to wear but are now too crazy expensive. (wanna guess?) I am so happy with these, I did get them on sale, which helped me a lot, but honestly, these are truly worth more. The\y are so comfortable, the arch is awesome, the cushioning, which is my number one issue (fat woman, 35 years working intensive care) is amazing. I love that the tongue is super thin and doesn't get in the way. I love the lacing system, but i needed a little more room in the shoe, some days it works great, other days i wish i just had one more inch, lol. Are you looking for an amazing shoe? Cushioning, smooth rocker bottom?? These are them, I couldn't be happier. I also introduced them to another friend who worked ICU with me for many years, she bought them and adores them too!!! (yes they are a little on the narrow side, just be aware)	2015-08-31
US	21706057	R2R07E5PNXEUO5	B00L1RKOKW	767118055	Olukai Nohea Mesh Shoe - Men's	Shoes	4	0	0	N	Y	good deal, but had to go a FULL size down	I went a full size down and they fit better but these are kinda wide.  Nonetheless I love them!	2015-08-31
US	13708216	R27BA52AKWMWN3	B005WA9MSE	813856438	Carolina Mens 6" Waterproof Broad Composite Toe Work Boot	Shoes	5	0	0	N	Y	... would have to say this is boot is very good for my line of work and I buy a ...	I would have to say this is boot is very good for my line of work and I buy a pair every year.	2015-08-31
US	40542649	RLF8DOID2KD5O	B00BEYQI5C	661491213	Alegria Women's Seville Clog	Shoes	3	0	0	N	Y	Too small	The size is misleading!	2015-08-31
US	13409446	R369CEXHXHC6NQ	B00EYAFTCQ	332158165	Naturalizer Women's Happening Dress Sandal	Shoes	5	0	0	N	Y	Five Stars	These shoes are very comfortable.	2015-08-31
US	9451727	R171PPIJXFONVI	B00I0QHY32	49243908	Forever Link Womens Vera-82 Sandals	Shoes	5	0	0	N	Y	Five Stars	I love these sandals!	2015-08-31
