marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	45610553	RMDCHWD0Y5OZ9	B00HH62VB6	618218723	AGPtek® 10 Isolated Output 9V 12V 18V Guitar Pedal Board Power Supply Effect Pedals with Isolated Short Cricuit / Overcurrent Protection	Musical Instruments	3	0	1	N	N	Three Stars	Works very good, but induces ALOT of noise.	2015-08-31
US	14640079	RZSL0BALIYUNU	B003LRN53I	986692292	Sennheiser HD203 Closed-Back DJ Headphones	Musical Instruments	5	0	0	N	Y	Five Stars	Nice headphones at a reasonable price.	2015-08-31
US	6111003	RIZR67JKUDBI0	B0006VMBHI	603261968	AudioQuest LP record clean brush	Musical Instruments	3	0	1	N	Y	Three Stars	removes dust. does not clean	2015-08-31
US	1546619	R27HL570VNL85F	B002B55TRG	575084461	Hohner Inc. 560BX-BF Special Twenty Harmonica	Musical Instruments	5	0	0	N	Y	I purchase these for a friend in return for playing ...	I purchase these for a friend in return for playing them for my father and other folks at a local retirement home. Thank you R.BNGR	2015-08-31
US	12222213	R34EBU9QDWJ1GD	B00N1YPXW2	165236328	Blue Yeti USB Microphone - Blackout Edition	Musical Instruments	5	0	0	N	Y	Five Stars	This is an awesome mic!	2015-08-31
US	46018513	R1WCUI4Z1SIQEO	B001N4GRGS	134151483	Middle Atlantic Products QFAN-119	Musical Instruments	5	0	0	N	N	Five Stars	Used to cool equipment inside credenzas.  Worked great.	2015-08-31
US	10225065	RL5LNO26GAVJ1	B009PJRMHQ	694166585	Kmise 1pc Pickguard for Gibson Sg Standard 3-ply Black	Musical Instruments	2	3	4	N	Y	Will not Fit Epiphone SG Special or any other Epi SG.	Note- Does not Fit Epiphone SG Special! Mine is circa 2002 model and it will not fill the space between the humbuckers completely. Everything else is Great and good craftmanship otherwise. I had to add my own custom made filler plate to complete the build. I have not been able to find this style pick guard that will fit my guitar with proper spacing between humbuckers without a &#34;custom&#34; price and having to send your guitar out.<br />Good price, but be prepared to do some custom work yourself!	2015-08-31
US	6356995	R3GYQ5W8JHP8SB	B00NKBDAZS	446431775	Kealoha Concert Ukulele - Stunning NEW Printed Design Series Sound & Playability – Great Value!	Musical Instruments	5	0	0	N	Y	Five Stars	Well built Ukulele! My daughter loves it!	2015-08-31
US	35297198	R30SHYQXGG5EYC	B006MIU7U2	125871705	Halco 80000 - MR16/3WW/FL/LED2 MR16 Flood LED Light Bulb	Musical Instruments	5	0	0	N	Y	Works fine. Hope it lasts through the warranty period this ...	Had to replace a new light after a lightning storm. Works fine.  Hope it lasts through the warranty period this time!	2015-08-31
US	32139520	R14YLXA56NP51I	B000FIBD0I	771888534	Gator GPTBLACK Plywood Pedal Board with Black Nylon 18 x 12 Inches Carry Bag and External Pocket	Musical Instruments	5	1	1	N	N	I upgraded the power cord to a heavier gauge which only cost me an extra 5 bucks and a little of my time *** I'd totally recomme	I've owned multiple fixed boards over the years, but I much rather stick with individual effect units*** I've purchased a few empty boards and they wound up falling apart, then it's deep six time *** My brother-in-law purchased the GPTBLPWR as a X-Mass gift 5 years ago, and much to my surprise, it's still kicking ass*** I've dropped it a few times, it's been accidentally stepped on a few times, kicked around numerous times, but after all this abuse, she's still rockin' as hard as ever *** Yes, it's heavy, Yes, the power cord is a bit flimsy, but I think I can deal with those negatives*** Actually, I upgraded the power cord to a heavier gauge which only cost me an extra 5 bucks and a little of my time *** I'd totally recommend this product  to anyone who is constantly on the move with there gear *** The cool thing about this is that when my bro-in-law purchased it 5 years ago, it was only $89.95 *** To bad guy's, you should have taken a chance back then, you could have saved  a little change, but all in all, it's very worth every penny*** You won't be disappointed, I can guarantee it *** Thanks again Amazon / Gator for another job well done ***	2015-08-31
